Group 1,Group 2,H,p-value,q-value
MB1 (n=1),MB2 (n=3),0.1999999999999993,0.6547208460185774,0.7274676066873081
MB1 (n=1),MB3 (n=2),1.5,0.22067136191984324,0.7274676066873081
MB1 (n=1),MB4 (n=3),0.1999999999999993,0.6547208460185774,0.7274676066873081
MB1 (n=1),MB5 (n=3),1.8000000000000007,0.17971249487899588,0.7274676066873081
MB2 (n=3),MB3 (n=2),0.3333333333333357,0.5637028616507718,0.7274676066873081
MB2 (n=3),MB4 (n=3),0.42857142857142705,0.5126907602619241,0.7274676066873081
MB2 (n=3),MB5 (n=3),0.04761904761904745,0.8272593465627116,0.8272593465627116
MB3 (n=2),MB4 (n=3),0.3333333333333357,0.5637028616507718,0.7274676066873081
MB3 (n=2),MB5 (n=3),0.33333333333333215,0.5637028616507738,0.7274676066873081
MB4 (n=3),MB5 (n=3),1.1904761904761898,0.27523352407483126,0.7274676066873081
